stkcd,shortname,aisoftinvest,aihardinvest,aiinvesttotal,aiinvestlevel,year
1,深发展A,375892000.0,1096640000.0,1472532000.0,0.0012,2011
1,平安银行,552707000.0,1194219000.0,1746926000.0,0.0011,2012
1,平安银行,423000000.0,1388000000.0,1811000000.0,0.001,2013
1,平安银行,539000000.0,1628583297.0,2195000000.0,0.001,2014
1,平安银行,496000000.0,1628583297.0,2378000000.0,0.0009,2015
1,平安银行,563800910.9,1628583297.0,2478000000.0,0.0008,2016
1,平安银行,563800910.9,1628583297.0,2715000000.0,0.0008,2017
1,平安银行,563800910.9,1628583297.0,3917000000.0,0.0011,2018
1,平安银行,563800910.9,1628583297.0,4413000000.0,0.0011,2019
1,平安银行,563800910.9,1628583297.0,4771000000.0,0.0011,2020
1,平安银行,406000000.0,1628583297.0,4609000000.0,0.0009,2021
1,平安银行,563800910.9,1628583297.0,4344000000.0,0.0008,2022
1,平安银行,563800910.9,1628583297.0,3495000000.0,0.0006,2023
1,平安银行,563800910.9,1628583297.0,2593000000.0,0.0004,2024
4,国农科技,13917.0,2003962.32,2017879.32,0.0103,2011
4,国农科技,11168.75,1102082.48,1105799.48,0.0057,2012
4,国农科技,1484939.17,1517711.82,3002650.99,0.002,2019
4,国华网安,27944659.07,1340113.81,29284772.88,0.0187,2020
7,零七股份,397166.33,1573718.5,1970884.83,0.0025,2012
7,零七股份,336833.36,1533926.35,1870759.71,0.0028,2013
7,零七股份,293833.4,1344795.41,1638628.81,0.0024,2014
7,零七股份,250833.44,422310.48,673143.92,0.0014,2015
7,全新好,207833.48,761619.33,969452.81,0.0019,2016
7,全新好,325608.52,301133.57,626742.09,0.0014,2017
7,全新好,290475.22,313438.83,603914.05,0.0011,2018
7,全新好,232450.22,320777.04,553227.26,0.001,2019
7,全新好,169150.22,295604.94,464755.16,0.0013,2020
7,全新好,89133.17,1308262.34,1397395.51,0.0039,2022
8,神州高铁,1873793.34,5718758.01,7592551.35,0.0021,2015
8,神州高铁,4177126.53,13930234.5,18107361.03,0.0022,2016
8,神州高铁,4875495.78,15894860.55,20770356.33,0.0019,2017
8,神州高铁,23994115.09,17362288.02,41356403.11,0.004,2018
8,神州高铁,58325333.52,16797526.53,75122860.05,0.0062,2019
8,神州高铁,67077751.3,29878400.08,96956151.38,0.0076,2020
8,神州高铁,54980224.67,22905924.02,77886148.69,0.0063,2021
8,神州高铁,41541968.96,13868333.66,55410302.62,0.0049,2022
8,神州高铁,19600170.67,8896637.0,28496807.67,0.0027,2023
9,中国宝安,1371856.3,13113634.23,14485490.53,0.0014,2010
9,中国宝安,1104288.58,25795156.09,26899444.67,0.0023,2011
9,中国宝安,3600511.36,30121883.5,33722394.86,0.0026,2012
9,中国宝安,4270451.3,30153517.93,34423969.23,0.0025,2013
9,中国宝安,5212994.78,25620659.34,30833654.12,0.0021,2014
