stkcd,shortname,aisoftinvest,aihardinvest,aiinvesttotal,aiinvestlevel,year,AI_Intensity,AI_Amount,AI_Dummy,first_ai_year,Treat,Post,IV1,IV2,AI_Intensity_lag1,AI_Amount_lag1,AI_Dummy_lag1
1,深发展A,375892000.0,1096640000.0,1472532000.0,0.0012,2011,1472532000.0,21.110249205681715,1,2011,1,1,105015746.08454272,,,,
1,平安银行,552707000.0,1194219000.0,1746926000.0,0.0011,2012,1746926000.0,21.281123509445063,1,2011,1,1,109139859.98540215,,1472532000.0,21.110249205681715,1.0
1,平安银行,423000000.0,1388000000.0,1811000000.0,0.001,2013,1811000000.0,21.31714501639987,1,2011,1,1,115255679.49510665,,1746926000.0,21.281123509445063,1.0
1,平安银行,539000000.0,1628583297.0,2165000000.0,0.001,2014,2165000000.0,21.50304932462441,1,2011,1,1,221220797.47291237,,1811000000.0,21.31714501639987,1.0
1,平安银行,496000000.0,1628583297.0,2165000000.0,0.0009,2015,2165000000.0,21.50304932462441,1,2011,1,1,140522083.91206482,,2165000000.0,21.50304932462441,1.0
1,平安银行,563800910.9,1628583297.0,2165000000.0,0.0008,2016,2165000000.0,21.50304932462441,1,2011,1,1,127443425.31747851,,2165000000.0,21.50304932462441,1.0
1,平安银行,563800910.9,1628583297.0,2165000000.0,0.0008,2017,2165000000.0,21.50304932462441,1,2011,1,1,122727009.01785138,,2165000000.0,21.50304932462441,1.0
1,平安银行,563800910.9,1628583297.0,2165000000.0,0.0011,2018,2165000000.0,21.50304932462441,1,2011,1,1,135578842.30059227,,2165000000.0,21.50304932462441,1.0
1,平安银行,563800910.9,1628583297.0,2165000000.0,0.0011,2019,2165000000.0,21.50304932462441,1,2011,1,1,142788275.93914923,,2165000000.0,21.50304932462441,1.0
1,平安银行,563800910.9,1628583297.0,2165000000.0,0.0011,2020,2165000000.0,21.50304932462441,1,2011,1,1,142510111.68382886,,2165000000.0,21.50304932462441,1.0
1,平安银行,406000000.0,1628583297.0,2165000000.0,0.0009,2021,2165000000.0,21.50304932462441,1,2011,1,1,136327382.172662,,2165000000.0,21.50304932462441,1.0
1,平安银行,563800910.9,1628583297.0,2165000000.0,0.0008,2022,2165000000.0,21.50304932462441,1,2011,1,1,127032671.78248058,,2165000000.0,21.50304932462441,1.0
1,平安银行,563800910.9,1628583297.0,2165000000.0,0.0006,2023,2165000000.0,21.50304932462441,1,2011,1,1,136101505.17990837,,2165000000.0,21.50304932462441,1.0
1,平安银行,563800910.9,1628583297.0,2165000000.0,0.0004,2024,2165000000.0,21.50304932462441,1,2011,1,1,392510522.886506,,2165000000.0,21.50304932462441,1.0
4,国农科技,13917.0,2003962.32,2017879.32,0.0103,2011,2017879.32,14.517558171893201,1,2011,1,1,105015746.08454272,,,,
4,国农科技,11168.75,1102082.48,1105799.48,0.0057,2012,1105799.48,13.916080046960753,1,2011,1,1,109139859.98540215,,2017879.32,14.517558171893201,1.0
4,国农科技,1484939.17,1517711.82,3002650.99,0.002,2019,3002650.99,14.91500645280411,1,2011,1,1,142788275.93914923,,1105799.48,13.916080046960753,1.0
4,国华网安,27944659.07,1340113.81,29284772.88,0.0187,2020,29284772.88,17.192578276117153,1,2011,1,1,142510111.68382886,,3002650.99,14.91500645280411,1.0
7,零七股份,397166.33,1573718.5,1970884.83,0.0025,2012,1970884.83,14.493993659545932,1,2012,1,1,109139859.98540215,,,,
7,零七股份,336833.36,1533926.35,1870759.71,0.0028,2013,1870759.71,14.441855702902831,1,2012,1,1,115255679.49510665,,1970884.83,14.493993659545932,1.0
7,零七股份,293833.4,1344795.41,1638628.81,0.0024,2014,1638628.81,14.309370968883703,1,2012,1,1,221220797.47291237,,1870759.71,14.441855702902831,1.0
